0x042A4: LINKS (Link Status register)                 0x70000080
       Link Status:                                   up
       Link Speed:                                    10G
0x05080: FCTRL (Filter Control register)              0x00000400
       Broadcast Accept:                              enabled
       Unicast Promiscuous:                           disabled
       Multicast Promiscuous:                         disabled
       Store Bad Packets:                             disabled
0x04294: MFLCN (TabMAC Flow Control register)         0x0000000A
       Receive Flow Control Packets:                  enabled
       Discard Pause Frames:                          enabled
       Pass MAC Control Frames:                       disabled
       Receive Priority Flow Control Packets:         disabled
0x05088: VLNCTRL (VLAN Control register)              0x48008100
       VLAN Mode:                                     disabled
       VLAN Filter:                                   enabled
0x02100: SRRCTL0 (Split and Replic Rx Control 0)      0x02000402
       Receive Buffer Size:                           2KB
0x03D00: FCCFG (Flow Control Configuration)           0x00000008
       Transmit Flow Control:                         enabled
       Priority Flow Control:                         disabled
0x04240: HLREG0 (Highlander Control 0 register)       0x08012FFF
       Transmit CRC:                                  enabled
       Receive CRC Strip:                             enabled
       Jumbo Frames:                                  enabled
       Pad Short Frames:                              enabled
       Loopback:                                      disabled
0x00000: CTRL        (Device Control)                 0x00000000
0x00008: STATUS      (Device Status)                  0x00080004
0x00018: CTRL_EXT    (Extended Device Control)        0x10010000
0x00020: ESDP        (Extended SDP Control)           0x00000000
0x00028: EODSDP      (Extended OD SDP Control)        0x00000000
0x00200: LEDCTL      (LED Control)                    0x4F844140
0x00048: FRTIMER     (Free Running Timer)             0x68F33F4A
0x0004C: TCPTIMER    (TCP Timer)                      0x00000000
0x10010: EEC         (EEPROM/Flash Control)           0x047FBF00
0x10014: EERD        (EEPROM Read)                    0x00000000
0x1001C: FLA         (Flash Access)                   0x00005048
0x10110: EEMNGCTL    (Manageability EEPROM Control)   0x800008FD
0x10114: EEMNGDATA   (Manageability EEPROM R/W Data)  0x30350000
0x10118: FLMNGCTL    (Manageability Flash Control)    0x8017FC00
0x1011C: FLMNGDATA   (Manageability Flash Read Data)  0x00000000
0x10120: FLMNGCNT    (Manageability Flash Read Count) 0x00000100
0x1013C: FLOP        (Flash Opcode)                   0xDEADBEEF
0x10200: GRC         (General Receive Control)        0x00000000
0x00800: EICR        (Extended Interrupt Cause)       0x00000000
0x00808: EICS        (Extended Interrupt Cause Set)   0x00000000
0x00880: EIMS        (Extended Interr. Mask Set/Read) 0xD199FFFF
0x00888: EIMC        (Extended Interrupt Mask Clear)  0xD199FFFF
0x00810: EIAC        (Extended Interrupt Auto Clear)  0x4000FFFF
0x00890: EIAM        (Extended Interr. Auto Mask EN)  0x0000FFFF
0x00820: EITR0       (Extended Interrupt Throttle 0)  0x00000028
0x00900: IVAR0       (Interrupt Vector Allocation 0)  0x81818080
0x00000: MSIXT       (MSI-X Table)                    0x00000000
0x11068: PBACL       (MSI-X PBA Clear)                0x00000000
0x00898: GPIE        (General Purpose Interrupt EN)   0xC0000030
0x03008: PFCTOP      (Priority Flow Ctrl Type Opcode) 0x01018808
0x03200: FCCTV0      (Flow Ctrl Tx Timer Value 0)     0xFFFFFFFF
0x03204: FCCTV1      (Flow Ctrl Tx Timer Value 1)     0xFFFFFFFF
0x03208: FCCTV2      (Flow Ctrl Tx Timer Value 2)     0xFFFFFFFF
0x0320C: FCCTV3      (Flow Ctrl Tx Timer Value 3)     0xFFFFFFFF
0x03220: FCRTL0      (Flow Ctrl Rx Threshold low 0)   0x80001400
0x03228: FCRTL1      (Flow Ctrl Rx Threshold low 1)   0x00000000
0x03230: FCRTL2      (Flow Ctrl Rx Threshold low 2)   0x00000000
0x03238: FCRTL3      (Flow Ctrl Rx Threshold low 3)   0x00000000
0x03240: FCRTL4      (Flow Ctrl Rx Threshold low 4)   0x00000000
0x03248: FCRTL5      (Flow Ctrl Rx Threshold low 5)   0x00000000
0x03250: FCRTL6      (Flow Ctrl Rx Threshold low 6)   0x00000000
0x03258: FCRTL7      (Flow Ctrl Rx Threshold low 7)   0x00000000
0x03260: FCRTH0      (Flow Ctrl Rx Threshold High 0)  0x8004A800
0x03268: FCRTH1      (Flow Ctrl Rx Threshold High 1)  0x8007A000
0x03270: FCRTH2      (Flow Ctrl Rx Threshold High 2)  0x8007A000
0x03278: FCRTH3      (Flow Ctrl Rx Threshold High 3)  0x8007A000
0x03280: FCRTH4      (Flow Ctrl Rx Threshold High 4)  0x8007A000
0x03288: FCRTH5      (Flow Ctrl Rx Threshold High 5)  0x8007A000
0x03290: FCRTH6      (Flow Ctrl Rx Threshold High 6)  0x8007A000
0x03298: FCRTH7      (Flow Ctrl Rx Threshold High 7)  0x8007A000
0x032A0: FCRTV       (Flow Control Refresh Threshold) 0x00007FFF
0x0CE00: TFCS        (Transmit Flow Control Status)   0x000000FF
0x01000: RDBAL00     (Rx Desc Base Addr Low 00)       0xCA82A000
0x01040: RDBAL01     (Rx Desc Base Addr Low 01)       0xCA82C000
0x01080: RDBAL02     (Rx Desc Base Addr Low 02)       0xCA82E000
0x010C0: RDBAL03     (Rx Desc Base Addr Low 03)       0xCA830000
0x01100: RDBAL04     (Rx Desc Base Addr Low 04)       0xCA832000
0x01140: RDBAL05     (Rx Desc Base Addr Low 05)       0xCA834000
0x01180: RDBAL06     (Rx Desc Base Addr Low 06)       0xCA836000
0x011C0: RDBAL07     (Rx Desc Base Addr Low 07)       0xCA838000
0x01200: RDBAL08     (Rx Desc Base Addr Low 08)       0xCA83A000
0x01240: RDBAL09     (Rx Desc Base Addr Low 09)       0xCA83C000
0x01280: RDBAL10     (Rx Desc Base Addr Low 10)       0xCA83E000
0x012C0: RDBAL11     (Rx Desc Base Addr Low 11)       0xCA840000
0x01300: RDBAL12     (Rx Desc Base Addr Low 12)       0xCA842000
0x01340: RDBAL13     (Rx Desc Base Addr Low 13)       0xCA844000
0x01380: RDBAL14     (Rx Desc Base Addr Low 14)       0xCA846000
0x013C0: RDBAL15     (Rx Desc Base Addr Low 15)       0xCA848000
0x01400: RDBAL16     (Rx Desc Base Addr Low 16)       0xCA84A000
0x01440: RDBAL17     (Rx Desc Base Addr Low 17)       0xCA84C000
0x01480: RDBAL18     (Rx Desc Base Addr Low 18)       0xCA84E000
0x014C0: RDBAL19     (Rx Desc Base Addr Low 19)       0xCA850000
0x01500: RDBAL20     (Rx Desc Base Addr Low 20)       0xCA852000
0x01540: RDBAL21     (Rx Desc Base Addr Low 21)       0xCA854000
0x01580: RDBAL22     (Rx Desc Base Addr Low 22)       0xCA856000
0x015C0: RDBAL23     (Rx Desc Base Addr Low 23)       0xCA858000
0x01600: RDBAL24     (Rx Desc Base Addr Low 24)       0x00000000
0x01640: RDBAL25     (Rx Desc Base Addr Low 25)       0x00000000
0x01680: RDBAL26     (Rx Desc Base Addr Low 26)       0x00000000
0x016C0: RDBAL27     (Rx Desc Base Addr Low 27)       0x00000000
0x01700: RDBAL28     (Rx Desc Base Addr Low 28)       0x00000000
0x01740: RDBAL29     (Rx Desc Base Addr Low 29)       0x00000000
0x01780: RDBAL30     (Rx Desc Base Addr Low 30)       0x00000000
0x017C0: RDBAL31     (Rx Desc Base Addr Low 31)       0x00000000
0x01800: RDBAL32     (Rx Desc Base Addr Low 32)       0x00000000
0x01840: RDBAL33     (Rx Desc Base Addr Low 33)       0x00000000
0x01880: RDBAL34     (Rx Desc Base Addr Low 34)       0x00000000
0x018C0: RDBAL35     (Rx Desc Base Addr Low 35)       0x00000000
0x01900: RDBAL36     (Rx Desc Base Addr Low 36)       0x00000000
0x01940: RDBAL37     (Rx Desc Base Addr Low 37)       0x00000000
0x01980: RDBAL38     (Rx Desc Base Addr Low 38)       0x00000000
0x019C0: RDBAL39     (Rx Desc Base Addr Low 39)       0x00000000
0x01A00: RDBAL40     (Rx Desc Base Addr Low 40)       0x00000000
0x01A40: RDBAL41     (Rx Desc Base Addr Low 41)       0x00000000
0x01A80: RDBAL42     (Rx Desc Base Addr Low 42)       0x00000000
0x01AC0: RDBAL43     (Rx Desc Base Addr Low 43)       0x00000000
0x01B00: RDBAL44     (Rx Desc Base Addr Low 44)       0x00000000
0x01B40: RDBAL45     (Rx Desc Base Addr Low 45)       0x00000000
0x01B80: RDBAL46     (Rx Desc Base Addr Low 46)       0x00000000
0x01BC0: RDBAL47     (Rx Desc Base Addr Low 47)       0x00000000
0x01C00: RDBAL48     (Rx Desc Base Addr Low 48)       0x00000000
0x01C40: RDBAL49     (Rx Desc Base Addr Low 49)       0x00000000
0x01C80: RDBAL50     (Rx Desc Base Addr Low 50)       0x00000000
0x01CC0: RDBAL51     (Rx Desc Base Addr Low 51)       0x00000000
0x01D00: RDBAL52     (Rx Desc Base Addr Low 52)       0x00000000
0x01D40: RDBAL53     (Rx Desc Base Addr Low 53)       0x00000000
0x01D80: RDBAL54     (Rx Desc Base Addr Low 54)       0x00000000
0x01DC0: RDBAL55     (Rx Desc Base Addr Low 55)       0x00000000
0x01E00: RDBAL56     (Rx Desc Base Addr Low 56)       0x00000000
0x01E40: RDBAL57     (Rx Desc Base Addr Low 57)       0x00000000
0x01E80: RDBAL58     (Rx Desc Base Addr Low 58)       0x00000000
0x01EC0: RDBAL59     (Rx Desc Base Addr Low 59)       0x00000000
0x01F00: RDBAL60     (Rx Desc Base Addr Low 60)       0x00000000
0x01F40: RDBAL61     (Rx Desc Base Addr Low 61)       0x00000000
0x01F80: RDBAL62     (Rx Desc Base Addr Low 62)       0x00000000
0x01FC0: RDBAL63     (Rx Desc Base Addr Low 63)       0x00000000
0x01004: RDBAH00     (Rx Desc Base Addr High 00)      0x00000002
0x01044: RDBAH01     (Rx Desc Base Addr High 01)      0x00000002
0x01084: RDBAH02     (Rx Desc Base Addr High 02)      0x00000002
0x010C4: RDBAH03     (Rx Desc Base Addr High 03)      0x00000002
0x01104: RDBAH04     (Rx Desc Base Addr High 04)      0x00000002
0x01144: RDBAH05     (Rx Desc Base Addr High 05)      0x00000002
0x01184: RDBAH06     (Rx Desc Base Addr High 06)      0x00000002
0x011C4: RDBAH07     (Rx Desc Base Addr High 07)      0x00000002
0x01204: RDBAH08     (Rx Desc Base Addr High 08)      0x00000002
0x01244: RDBAH09     (Rx Desc Base Addr High 09)      0x00000002
0x01284: RDBAH10     (Rx Desc Base Addr High 10)      0x00000002
0x012C4: RDBAH11     (Rx Desc Base Addr High 11)      0x00000002
0x01304: RDBAH12     (Rx Desc Base Addr High 12)      0x00000002
0x01344: RDBAH13     (Rx Desc Base Addr High 13)      0x00000002
0x01384: RDBAH14     (Rx Desc Base Addr High 14)      0x00000002
0x013C4: RDBAH15     (Rx Desc Base Addr High 15)      0x00000002
0x01404: RDBAH16     (Rx Desc Base Addr High 16)      0x00000002
0x01444: RDBAH17     (Rx Desc Base Addr High 17)      0x00000002
0x01484: RDBAH18     (Rx Desc Base Addr High 18)      0x00000002
0x014C4: RDBAH19     (Rx Desc Base Addr High 19)      0x00000002
0x01504: RDBAH20     (Rx Desc Base Addr High 20)      0x00000002
0x01544: RDBAH21     (Rx Desc Base Addr High 21)      0x00000002
0x01584: RDBAH22     (Rx Desc Base Addr High 22)      0x00000002
0x015C4: RDBAH23     (Rx Desc Base Addr High 23)      0x00000002
0x01604: RDBAH24     (Rx Desc Base Addr High 24)      0x00000000
0x01644: RDBAH25     (Rx Desc Base Addr High 25)      0x00000000
0x01684: RDBAH26     (Rx Desc Base Addr High 26)      0x00000000
0x016C4: RDBAH27     (Rx Desc Base Addr High 27)      0x00000000
0x01704: RDBAH28     (Rx Desc Base Addr High 28)      0x00000000
0x01744: RDBAH29     (Rx Desc Base Addr High 29)      0x00000000
0x01784: RDBAH30     (Rx Desc Base Addr High 30)      0x00000000
0x017C4: RDBAH31     (Rx Desc Base Addr High 31)      0x00000000
0x01804: RDBAH32     (Rx Desc Base Addr High 32)      0x00000000
0x01844: RDBAH33     (Rx Desc Base Addr High 33)      0x00000000
