[14:10:51.090995598] (+?.?????????) lib.eal.thread.lcore.ready: { cpu_id = 0xC, name = "rte-worker-12" }, { lcore_id = 0xC, cpuset = "12" }
[14:10:51.091044990] (+0.000049392) lib.eal.thread.lcore.ready: { cpu_id = 0xD, name = "rte-worker-13" }, { lcore_id = 0xD, cpuset = "13" }
[14:10:51.091059249] (+0.000014259) lib.eal.thread.lcore.running: { cpu_id = 0xC, name = "rte-worker-12" }, { lcore_id = 0xC, f = 0x5651F811F980 }
[14:10:51.091059294] (+0.000000045) lib.eal.thread.lcore.stopped: { cpu_id = 0xC, name = "rte-worker-12" }, { lcore_id = 0xC }
[14:10:51.091061089] (+0.000001795) lib.eal.thread.remote.launch: { cpu_id = 0xB, name = "dpdk-testpmd" }, { f = 0x5651F811F980, arg = 0x0, worker_id = 0xC, rc = 0 }
[14:10:51.091064543] (+0.000003454) lib.eal.thread.lcore.running: { cpu_id = 0xD, name = "rte-worker-13" }, { lcore_id = 0xD, f = 0x5651F811F980 }
[14:10:51.091064590] (+0.000000047) lib.eal.thread.lcore.stopped: { cpu_id = 0xD, name = "rte-worker-13" }, { lcore_id = 0xD }
[14:10:51.091064739] (+0.000000149) lib.eal.thread.lcore.ready: { cpu_id = 0xE, name = "rte-worker-14" }, { lcore_id = 0xE, cpuset = "14" }
[14:10:51.091065672] (+0.000000933) lib.eal.thread.remote.launch: { cpu_id = 0xB, name = "dpdk-testpmd" }, { f = 0x5651F811F980, arg = 0x0, worker_id = 0xD, rc = 0 }
[14:10:51.091069426] (+0.000003754) lib.eal.thread.lcore.running: { cpu_id = 0xE, name = "rte-worker-14" }, { lcore_id = 0xE, f = 0x5651F811F980 }
[14:10:51.091069442] (+0.000000016) lib.eal.thread.lcore.stopped: { cpu_id = 0xE, name = "rte-worker-14" }, { lcore_id = 0xE }
[14:10:51.091070679] (+0.000001237) lib.eal.thread.remote.launch: { cpu_id = 0xB, name = "dpdk-testpmd" }, { f = 0x5651F811F980, arg = 0x0, worker_id = 0xE, rc = 0 }
[14:10:51.091090089] (+0.000019410) lib.eal.thread.lcore.ready: { cpu_id = 0xF, name = "rte-worker-15" }, { lcore_id = 0xF, cpuset = "15" }
[14:10:51.091091630] (+0.000001541) lib.eal.thread.lcore.running: { cpu_id = 0xF, name = "rte-worker-15" }, { lcore_id = 0xF, f = 0x5651F811F980 }
[14:10:51.091091645] (+0.000000015) lib.eal.thread.lcore.stopped: { cpu_id = 0xF, name = "rte-worker-15" }, { lcore_id = 0xF }
[14:10:51.091092966] (+0.000001321) lib.eal.thread.remote.launch: { cpu_id = 0xB, name = "dpdk-testpmd" }, { f = 0x5651F811F980, arg = 0x0, worker_id = 0xF, rc = 0 }
[14:10:51.091093917] (+0.000000951) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "rte_services", size = 0x2000, align = 0x40, socket = -1, ptr = 0x17FAFDC40 }
[14:10:51.091094045] (+0.000000128) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "rte_services", size = 0x2000, align = 0x40, socket = -1, ptr = 0x17FAFDC40 }
[14:10:51.091094146] (+0.000000101) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "rte_service_core_states", size = 0x24000, align = 0x40, socket = -1, ptr = 0x17FAD9BC0 }
[14:10:51.091094174] (+0.000000028) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "rte_service_core_states", size = 0x24000, align = 0x40, socket = -1, ptr = 0x17FAD9BC0 }
[14:10:51.091244413] (+0.000150239) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "UIO_RES", size = 0x1180, align = 0x0, socket = -1, ptr = 0x17FAD89C0 }
[14:10:51.091244428] (+0.000000015) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "UIO_RES", size = 0x1180, align = 0x0, socket = -1, ptr = 0x17FAD89C0 }
[14:10:51.091244624] (+0.000000196) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "", size = 0x0, align = 0x0, socket = 0, ptr = 0x0 }
[14:10:51.091256490] (+0.000011866) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "", size = 0x0, align = 0x0, socket = 0, ptr = 0x0 }
[14:10:51.091288153] (+0.000031663) lib.eal.memzone.reserve: { cpu_id = 0xB, name = "dpdk-testpmd" }, { name = "rte_eth_dev_data", len = 0x30040, socket_id = 0, flags = 0x0, align = 0x40, bound = 0x0, mz = 0x100007000 }
[14:10:51.091297653] (+0.000009500) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "0000:05:10.0", size = 0x77C8, align = 0x40, socket = -1, ptr = 0x17FA9EF80 }
[14:10:51.091297683] (+0.000000030) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "0000:05:10.0", size = 0x77C8, align = 0x40, socket = -1, ptr = 0x17FA9EF80 }
[14:10:51.155230827] (+0.063933144) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "ixgbevf", size = 0x300, align = 0x0, socket = -1, ptr = 0x17FA9EC00 }
